mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Xgb__learning_rate,param_Xgb__max_depth,param_Xgb__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.025888776779174803,0.001470462706399799,0.0028206825256347655,0.0003467589977288491,0.02,20,10,"{'Xgb__learning_rate': 0.02, 'Xgb__max_depth': 20, 'Xgb__n_estimators': 10}",0.7272727268963939,0.9327354256561763,0.5128205125259697,0.7783783779695543,0.7236180900914622,0.7349650266279113,0.13456147992350673,15
0.04400115013122559,0.0045440320682242205,0.0026237964630126953,0.0001877725759135341,0.02,20,20,"{'Xgb__learning_rate': 0.02, 'Xgb__max_depth': 20, 'Xgb__n_estimators': 20}",0.7638190951165879,0.8930232554520713,0.5048543686074087,0.8447204964527604,0.7958115179535649,0.7604457467164787,0.13510595773981623,13
0.08914008140563964,0.0019609047664135276,0.00305633544921875,0.00021723935839717282,0.02,20,50,"{'Xgb__learning_rate': 0.02, 'Xgb__max_depth': 20, 'Xgb__n_estimators': 50}",0.8491620107859306,0.8442211051464356,0.6021505372847727,0.8786127163379998,0.8743169395089732,0.8096926618128224,0.1046422931175752,1
0.26068720817565916,0.005243612062881523,0.0034226417541503907,0.0003378768508136698,0.02,20,150,"{'Xgb__learning_rate': 0.02, 'Xgb__max_depth': 20, 'Xgb__n_estimators': 150}",0.7868852455199021,0.8376963346870974,0.623376622979929,0.9171974517820601,0.8743169395089732,0.8078945188955924,0.10172065749208802,3
0.01947174072265625,0.0006363036355513302,0.002496480941772461,0.00012230543128427356,0.02,40,10,"{'Xgb__learning_rate': 0.02, 'Xgb__max_depth': 40, 'Xgb__n_estimators': 10}",0.7272727268963939,0.9327354256561763,0.5128205125259697,0.7783783779695543,0.7236180900914622,0.7349650266279113,0.13456147992350673,15
0.034390497207641604,0.0008120781155066627,0.002496194839477539,0.00014325329484950148,0.02,40,20,"{'Xgb__learning_rate': 0.02, 'Xgb__max_depth': 40, 'Xgb__n_estimators': 20}",0.7638190951165879,0.8930232554520713,0.5048543686074087,0.8447204964527604,0.7958115179535649,0.7604457467164787,0.13510595773981623,13
0.08807902336120606,0.0013952664563556105,0.0027097225189208984,8.845613325961747e-05,0.02,40,50,"{'Xgb__learning_rate': 0.02, 'Xgb__max_depth': 40, 'Xgb__n_estimators': 50}",0.8491620107859306,0.8442211051464356,0.6021505372847727,0.8786127163379998,0.8743169395089732,0.8096926618128224,0.1046422931175752,1
0.26201605796813965,0.004513024564615318,0.0032927989959716797,0.00022212541735680116,0.02,40,150,"{'Xgb__learning_rate': 0.02, 'Xgb__max_depth': 40, 'Xgb__n_estimators': 150}",0.7868852455199021,0.8376963346870974,0.623376622979929,0.9171974517820601,0.8743169395089732,0.8078945188955924,0.10172065749208802,3
0.01971406936645508,0.0018731948617921026,0.002858591079711914,0.0007610481243789793,0.04,20,10,"{'Xgb__learning_rate': 0.04, 'Xgb__max_depth': 20, 'Xgb__n_estimators': 10}",0.7700534755594954,0.8930232554520713,0.5714285711085714,0.8242424238063545,0.7638190951165879,0.764513364208616,0.10714034242774682,11
0.03589210510253906,0.0020061814072934933,0.0026428699493408203,8.42839858284942e-05,0.04,20,20,"{'Xgb__learning_rate': 0.04, 'Xgb__max_depth': 20, 'Xgb__n_estimators': 20}",0.8685714281785468,0.8205128201265484,0.5161290319084287,0.9248554909044739,0.820512820146956,0.7901163182529908,0.14228617406637464,7
0.08642458915710449,0.0015607977253682798,0.0031284332275390626,0.0006409711451471325,0.04,20,50,"{'Xgb__learning_rate': 0.04, 'Xgb__max_depth': 20, 'Xgb__n_estimators': 50}",0.8143712570805695,0.8376963346870974,0.6117647055103114,0.8447204964527604,0.8743169395089732,0.7965739466479423,0.09436558044503651,5
0.24625077247619628,0.014909620619411618,0.002956199645996094,0.0003173282108083035,0.04,20,150,"{'Xgb__learning_rate': 0.04, 'Xgb__max_depth': 20, 'Xgb__n_estimators': 150}",0.8044692733557628,0.7958115179331707,0.543209876159122,0.8888888884360716,0.820512820146956,0.7705784752062167,0.11829840671825792,9
0.018984556198120117,0.0011200652215056601,0.0028171539306640625,0.0005856407714622658,0.04,40,10,"{'Xgb__learning_rate': 0.04, 'Xgb__max_depth': 40, 'Xgb__n_estimators': 10}",0.7700534755594954,0.8930232554520713,0.5714285711085714,0.8242424238063545,0.7638190951165879,0.764513364208616,0.10714034242774682,11
0.03809056282043457,0.0030363966102977236,0.0027542591094970705,0.00030498060303123817,0.04,40,20,"{'Xgb__learning_rate': 0.04, 'Xgb__max_depth': 40, 'Xgb__n_estimators': 20}",0.8685714281785468,0.8205128201265484,0.5161290319084287,0.9248554909044739,0.820512820146956,0.7901163182529908,0.14228617406637464,7
0.0890458106994629,0.0037610314058746036,0.0028458118438720705,0.00013985263983449318,0.04,40,50,"{'Xgb__learning_rate': 0.04, 'Xgb__max_depth': 40, 'Xgb__n_estimators': 50}",0.8143712570805695,0.8376963346870974,0.6117647055103114,0.8447204964527604,0.8743169395089732,0.7965739466479423,0.09436558044503651,5
0.24887609481811523,0.008165586449635302,0.0034790992736816405,0.0001224471586014056,0.04,40,150,"{'Xgb__learning_rate': 0.04, 'Xgb__max_depth': 40, 'Xgb__n_estimators': 150}",0.8044692733557628,0.7958115179331707,0.543209876159122,0.8888888884360716,0.820512820146956,0.7705784752062167,0.11829840671825792,9
